ANO_ELEICAO,SIGLA_UE,DESCRICAO_CARGO,QTDE_VAGAS
1998,AC,GOVERNADOR,1
1998,AC,SENADOR,1
1998,AC,DEPUTADO FEDERAL,8
1998,AC,DEPUTADO ESTADUAL,24
1998,AL,GOVERNADOR,1
1998,AL,SENADOR,1
1998,AL,DEPUTADO FEDERAL,9
1998,AL,DEPUTADO ESTADUAL,27
1998,AM,GOVERNADOR,1
1998,AM,SENADOR,1
1998,AM,DEPUTADO FEDERAL,8
1998,AM,DEPUTADO ESTADUAL,24
1998,AP,GOVERNADOR,1
1998,AP,SENADOR,1
1998,AP,DEPUTADO FEDERAL,8
1998,AP,DEPUTADO ESTADUAL,24
1998,BA,GOVERNADOR,1
1998,BA,SENADOR,1
1998,BA,DEPUTADO FEDERAL,39
1998,BA,DEPUTADO ESTADUAL,63
1998,CE,GOVERNADOR,1
1998,CE,SENADOR,1
1998,CE,DEPUTADO FEDERAL,22
1998,CE,DEPUTADO ESTADUAL,46
1998,DF,GOVERNADOR,1
1998,DF,SENADOR,1
1998,DF,DEPUTADO FEDERAL,8
1998,DF,DEPUTADO DISTRITAL,24
1998,ES,GOVERNADOR,1
1998,ES,SENADOR,1
1998,ES,DEPUTADO FEDERAL,10
1998,ES,DEPUTADO ESTADUAL,30
1998,GO,GOVERNADOR,1
1998,GO,SENADOR,1
1998,GO,DEPUTADO FEDERAL,17
1998,GO,DEPUTADO ESTADUAL,41
1998,MA,GOVERNADOR,1
1998,MA,SENADOR,1
1998,MA,DEPUTADO FEDERAL,18
1998,MA,DEPUTADO ESTADUAL,42
1998,MG,GOVERNADOR,1
1998,MG,SENADOR,1
1998,MG,DEPUTADO FEDERAL,53
1998,MG,DEPUTADO ESTADUAL,77
1998,MS,GOVERNADOR,1
1998,MS,SENADOR,1
1998,MS,DEPUTADO FEDERAL,8
1998,MS,DEPUTADO ESTADUAL,24
1998,MT,GOVERNADOR,1
1998,MT,SENADOR,1
1998,MT,DEPUTADO FEDERAL,8
1998,MT,DEPUTADO ESTADUAL,24
1998,PA,GOVERNADOR,1
1998,PA,SENADOR,1
1998,PA,DEPUTADO FEDERAL,17
1998,PA,DEPUTADO ESTADUAL,41
1998,PB,GOVERNADOR,1
1998,PB,SENADOR,1
1998,PB,DEPUTADO FEDERAL,12
1998,PB,DEPUTADO ESTADUAL,36
